"BANTEN",154658,180920,195712,234517,262387,290243,321473,366610,392046,429913,486515,551678,568904,621779,632206,717509,96155,115064,143723,160440,174403,191609,198310,230289,272081,298101,304026,344889,391762,430162,422823,433478,250812,295983,339435,394957,436790,481852,519784,596899,664127,728014,790542,896568,960667,1051941,1055029,1150988,224839,234802,277154,338135,361735,409639,469412,497031,526737,578602,681921,722162,755744,809917,789596,867898,325445,324416,360507,470739,460828,427501,469137,545593,677002,740307,768846,860591,857116,890708,902648,908923,550284,559219,637662,808875,822563,837140,938549,1042624,1203739,1318909,1450768,1582754,1612861,1700626,1692245,1776821,328623,370088,420422,455522,483956,532389,623084,672917,702322,756673,744893,830110,365364,349359,379454,445242,548390,602867,628887,711628,724059,760370,766363,789460,693987,719447,799876,900764,1032346,1135256,1251971,1384545,1426382,1517044,1511256,1619571
"BALI",167040,167920,183935,234204,277702,295188,380956,387017,389091,415994,462189,508462,519389,564444,534662,537213,165237,170644,190592,243061,277556,348033,345853,375812,441381,467022,492979,506501,535918,526845,544917,540494,332277,338563,374527,477266,555258,643221,726810,762829,830471,883016,955168,1014963,1055307,1091290,1079579,1077707,212090,215944,241671,311931,358825,354780,494245,525101,441921,495437,629479,646596,649854,724978,667606,639073,307687,279358,335150,418290,579469,692752,701899,754814,737657,731649,915099,899792,887615,973020,963313,950309,519777,495302,576821,730221,938294,1047532,1196144,1279915,1179578,1227087,1544578,1546388,1537470,1697998,1630920,1589383,326490,330963,449048,471149,421577,465993,569168,599976,609181,675145,628472,609855,459132,554979,559852,606730,623568,633569,762916,767056,777972,834520,840152,832754,785622,885942,1008900,1077879,1045145,1099561,1332084,1367032,1387153,1509665,1468624,1442609
"NUSA TENGGARA BARAT",127335,153907,169850,205617,232437,255340,302009,328355,341583,385012,430953,489716,508746,537421,592603,625547,88947,104504,122048,147172,161851,163840,179355,210000,263291,288557,285334,327291,424611,438075,461751,402893,216282,258410,291898,352789,394288,419180,481364,538355,604874,673569,716288,817007,933358,975497,1054354,1028440,160540,186472,191821,249107,271368,341243,337101,420182,373402,442888,490606,565819,573132,613446,683662,707430,151503,172259,207458,274540,243507,234901,303305,350931,381980,431455,460071,468883,559054,598236,658565,582407,312043,358731,399278,523647,514875,576144,640406,771113,755382,874344,950677,1034704,1132187,1211682,1342227,1289837,248690,291176,316656,366885,355034,410112,457616,525091,539863,574202,637897,666966,195940,234901,231092,269134,313465,350529,363435,393107,489587,515561,559650,493696,444630,484661,547748,636019,668499,760641,821052,918199,1029450,1089763,1197547,1160662
"NUSA TENGGARA TIMUR",112287,127838,145969,179358,200774,205925,209111,239875,272347,283013,366408,361460,395098,401712,424725,446350,59216,67937,87210,106006,116755,119946,134408,155532,176028,196941,201792,219096,229992,251481,276068,310372,171503,195775,233179,285364,317529,325871,343519,395407,448375,479954,568200,580557,625090,653194,700794,756723,200895,204344,236813,273831,311872,322582,365825,381649,401053,426417,518425,542216,539898,574081,600232,581779,211239,222672,252259,276699,344530,368842,423871,513543,473374,526696,574119,579797,613889,672776,663311,676439,412133,427016,489072,550530,656402,691424,789696,895192,874428,953114,1092545,1122013,1153788,1246857,1263544,1258219,222575,228660,240207,267584,298180,312312,399251,402921,429498,442700,468252,480749,161451,168451,191846,225504,235710,264315,282232,301832,321195,351661,372106,403352,384025,397111,432053,493088,533891,576627,681483,704754,750693,794361,840358,884102
"KALIMANTAN BARAT",166791,194968,222253,243618,283629,313904,323270,380875,405835,423687,479510,490033,511415,539487,556660,610152,93685,115956,125796,143383,205923,186198,216440,243900,282118,319487,305909,363108,392690,412227,441583,434527,260477,310925,348049,387001,489552,500102,539711,624775,687953,743174,785420,853142,904105,951715,998244,1044679,188844,218161,255780,322786,379884,438635,467944,510316,473082,511593,605453,624891,653100,666983,685868,762281,204429,230371,264375,367657,431312,436037,509948,648435,526121,605280,632936,748505,753224,778369,769054,793738,393273,448532,520155,690443,811196,874671,977892,1158751,999203,1116874,1238389,1373396,1406325,1445352,1454922,1556019,312711,351590,367018,420130,426381,451222,519469,535533,561142,584259,603291,666065,274022,261683,305193,366581,356668,409006,409666,493138,519227,540803,559766,566552,586732,613273,672211,786711,783050,860227,929135,1028671,1080369,1125063,1163058,1232618
"KALIMANTAN TENGAH",192555,235185,251330,296577,359349,368711,400068,483884,489011,532629,606252,615144,628743,653781,701646,777398,111124,128660,132743,167251,211517,238978,274072,317251,361909,412711,412176,489769,538257,536160,577984,591424,303679,363845,384073,463828,570865,607689,674140,801135,850921,945340,1018429,1104915,1167000,1189942,1279631,1368822,230792,283938,308212,326759,408361,428808,454453,517271,506106,571463,648916,660147,683518,708823,729454,742369,225939,239637,264614,278194,377446,453917,550440,578692,549096,656184,693047,754485,782544,837135,831203,800765,456731,523575,572826,604954,785806,882724,1004892,1095963,1055202,1227648,1341964,1414633,1466063,1545958,1560658,1543134,375767,388822,418274,495159,494858,546306,621621,632492,650758,675947,713144,762633,267100,310905,366590,405540,425928,498464,513357,591813,636442,657370,682681,679661,642867,699727,784864,900699,920786,1044770,1134979,1224306,1287201,1333318,1395825,1442295
"KALIMANTAN SELATAN",189486,211659,244792,288766,345249,342859,384125,432453,440745,496275,552468,558191,573376,610435,638415,669702,126103,133462,165189,191886,231596,254096,248026,288241,349861,406184,390246,438096,457675,493883,501261,517955,315589,345121,409981,480652,576845,596955,632151,720694,790607,902459,942715,996288,1031051,1104318,1139676,1187658,268979,269406,282810,347424,411930,431623,518805,489898,510837,576703,687947,704312,690914,749092,768244,788606,284486,312730,339666,397557,456277,532456,545287,609233,670407,659884,742319,786234,804377,844200,876016,848192,553465,582135,622475,744981,868206,964079,1064092,1099131,1181244,1236588,1430266,1490547,1495291,1593292,1644260,1636799,373301,380306,440803,456699,470450,531127,612237,626241,628902,675978,701228,727960,326116,371527,373123,423726,485707,516120,545568,600227,621460,659478,682572,679758,699417,751833,813926,880425,956156,1047247,1157805,1226468,1250362,1335456,1383800,1407718
"KALIMANTAN TIMUR",189162,208312,223957,287859,344627,369123,358763,427166,496104,549413,586914,624762,666051,719141,679889,753173,176611,183431,186531,222434,297235,294535,352471,368901,487665,506964,513099,597805,642661,675241,691251,711736,365773,391743,410488,510293,641861,663658,711234,796067,983770,1056377,1100014,1222567,1308712,1394383,1371141,1464909,250671,281603,370349,427256,442723,500364,549820,570864,580661,609280,702593,741670,752592,824955,762309,840814,356808,421310,494474,538227,605591,623081,732971,760951,736387,821085,916652,986254,1014134,1103204,1115032,1107670,607479,702914,864823,965483,1048314,1123445,1282792,1331815,1317048,1430365,1619245,1727926,1766726,1928159,1877341,1948484,405490,450614,477325,516036,549351,587920,663534,702905,724422,790469,736465,813447,488554,498538,588592,611364,644291,709006,780393,857449,893217,963725,982145,984037,894044,949152,1065917,1127400,1193642,1296926,1443927,1560354,1617640,1754194,1718610,1797485
"KALIMANTAN UTARA",NA,NA,NA,NA,NA,NA,NA,NA,478792,501077,555546,633018,684701,710231,684166,750264,NA,NA,NA,NA,NA,NA,NA,NA,419632,476942,455187,611783,565355,607935,612962,659571,NA,NA,NA,NA,NA,NA,NA,NA,898424,978020,1010733,1244803,1250056,1318166,1297128,1409835,NA,NA,NA,NA,NA,NA,NA,NA,536894,586024,750225,699406,738912,765815,779047,762995,NA,NA,NA,NA,NA,NA,NA,NA,623024,707551,771073,837431,848855,928045,934656,896808,NA,NA,NA,NA,NA,NA,NA,NA,1159918,1293576,1521298,1536838,1587768,1693861,1713703,1659804,NA,NA,NA,NA,511272,549467,667279,671612,717752,743893,742833,758431,NA,NA,NA,NA,533332,608307,636486,742960,738194,801795,811875,811754,NA,NA,NA,NA,1044605,1157774,1303765,1414572,1455946,1545689,1554709,1570185
"SULAWESI UTARA",173409,180823,205324,251796,288344,305395,326454,362670,398016,431923,524354,508962,529171,546762,569783,630299,117019,129713,158939,184840,230399,245537,276767,284181,288894,356481,373710,417058,456599,466128,475718,444913,290429,310536,364263,436636,518743,550932,603220,646851,686910,788403,898064,926020,985771,1012890,1045501,1075212,199297,186399,200747,286724,327688,390854,444603,436506,459988,545514,673045,611677,603629,629699,649716,711700,230259,195474,211392,311195,409939,459041,496357,538656,519694,605107,665212,783585,698123,764264,703347,663541,429556,381873,412139,597919,737628,849894,940960,975162,979682,1150621,1338258,1395263,1301753,1393964,1353063,1375241,306126,344033,379814,395996,426278,484938,594832,560514,568055,590061,612971,674114,311543,342066,375941,399039,394149,472520,511880,601014,582727,621777,598707,562591,617669,686099,755755,795035,820426,957458,1106712,1161528,1150782,1211839,1211679,1236705
"SULAWESI TENGAH",140065,162731,184873,222649,268617,277820,294449,329025,368439,389502,444011,446707,462155,489557,485971,537541,106673,120512,141749,169997,204142,213183,241870,247638,293645,339010,339996,369058,378937,417232,442837,430680,246738,283242,326622,392646,472759,491003,536319,576663,662084,728511,784007,815766,841092,906789,928809,968221,188171,218058,243461,281251,344858,425229,402883,460173,429317,509944,586401,547295,607647,580886,570842,613756,194534,238464,307123,390051,399098,448929,594881,623276,629817,667676,714936,715402,710733,757707,753993,718121,382705,456522,550584,671302,743956,874158,997763,1083449,1059134,1177621,1301338,1262697,1318381,1338593,1324835,1331878,287260,313730,320823,360961,383546,420182,480987,474810,505608,516838,512309,561738,251815,270612,327732,339112,377066,422730,437362,465823,478032,518938,539396,521939,539076,584341,648554,700073,760612,842912,918349,940635,983640,1035777,1051705,1083678
"SULAWESI SELATAN",128996,144500,148197,208045,226221,256865,269516,287796,312799,346180,393725,425295,427806,454091,472236,497655,89046,98494,111536,145389,176297,187314,197875,216990,275628,304333,318753,384047,388568,397055,416008,430993,218043,242995,259733,353434,402518,444179,467391,504786,588427,650513,712478,809342,816375,851147,888244,928649,200088,217727,256990,323848,318992,337460,360511,402456,436956,505254,537563,593699,566414,597001,608651,647737,247415,267649,329139,366147,366609,404453,466832,479392,575266,688464,719573,712200,724941,729927,760367,749233,447502,485376,586129,689996,685601,741913,827342,881848,1012222,1193719,1257137,1305899,1291355,1326929,1369018,1396970,260240,286410,302903,330220,359187,407389,450618,495464,487933,516183,533482,566223,246083,266914,296559,314078,387580,452140,477290,520779,534484,541681,570614,576387,506323,553324,599462,644298,746767,859529,927908,1016243,1022418,1057864,1104096,1142611
"SULAWESI TENGGARA",124540,131739,148526,191015,208886,245392,255086,266070,306600,343145,375141,409899,426329,464457,462872,494846,92640,92642,102131,136211,171442,190272,203230,217791,272945,340273,345524,382112,411783,393163,433015,449414,217181,224380,250657,327225,380328,435664,458317,483861,579545,683418,720666,792011,838113,857620,895888,944260,199921,203898,236087,335709,325118,340137,362990,358190,385082,439023,483415,534142,551172,572118,593610,605702,205799,238903,347976,419208,419952,445349,489702,541703,520583,657421,652235,721815,754733,744283,789518,799979,405720,442801,584063,754918,745070,785486,852692,899893,905665,1096445,1135651,1255958,1305905,1316401,1383129,1405682,240739,271348,284683,291923,329208,371733,409856,457496,475215,506739,509723,535048,239546,260151,281806,308698,344281,434835,443862,512252,546074,531059,560769,576546,480285,531498,566489,600621,673488,806568,853719,969750,1021289,1037799,1070493,1111595
"GORONTALO",119765,133510,147191,194224,226255,243994,246612,323180,287010,337137,394003,374990,404408,434893,480020,501696,80326,90760,110225,167397,207844,224699,251364,223008,234180,295510,328112,363356,400875,431686,473763,408531,200091,224270,257416,361621,434099,468693,497976,546188,521190,632647,722116,738346,805283,866580,953784,910227,175183,186260,202468,260413,314046,319105,334025,367410,400853,458798,525875,501436,519468,532422,593594,576110,231308,202981,197485,277089,361647,365828,405979,463936,541711,567969,680550,653909,754067,811910,798884,862767,406491,389240,399953,537502,675692,684933,740003,831346,942564,1026768,1206425,1155347,1273536,1344333,1392478,1438877,256106,269533,276334,338353,326512,380934,441998,423925,452958,476069,529729,534461,260141,272686,303937,305658,340889,393591,456383,475801,549905,592212,616060,608535,516247,542220,580271,644011,667401,774525,898382,899727,1002864,1068281,1145790,1142996
"SULAWESI BARAT",140620,155240,175342,210483,211666,224338,264810,267869,321635,343144,381140,411814,421338,435461,440991,472671,105724,112470,115859,137736,133665,149377,171941,217856,263154,301160,285572,331560,331956,368095,388794,395286,246345,267710,291201,348219,345331,373715,436751,485725,584789,644304,666712,743375,753295,803556,829785,867958,162826,182489,180629,254171,271260,279027,322191,324124,367632,413761,442691,505349,523244,526949,500120,567136,110203,141728,171992,262174,231118,282739,282775,305705,369746,434140,492846,560624,601146,658711,637081,733418,273029,324217,352621,516345,502377,561766,604966,629829,737378,847901,935537,1065973,1124390,1185660,1137201,1300554,225501,236901,278355,280751,330890,357586,393942,433929,445426,457059,453030,491876,156289,180012,198103,237973,284601,328356,328683,385717,395586,436701,439349,464029,381790,416912,476458,518724,615491,685941,722625,819646,841013,893760,892380,955905
"MALUKU",144773,155561,175256,212195,253671,270796,290663,339778,378946,378718,435864,396588,434336,462678,452659,523227,84049,93145,100316,136276,207461,200470,211038,254315,285648,302036,303463,323323,346058,392248,398215,426391,228822,248707,275572,348471,461132,471266,501701,594093,664594,680754,739327,719911,780394,854927,850875,949618,217097,232003,247366,262616,333695,403908,414484,465179,486374,511198,556649,623805,601811,620871,642907,678816,234650,233809,229082,239822,406185,406085,484342,528522,511825,584709,586860,685306,688358,755607,803427,787907,451747,465812,476448,502438,739880,809993,898826,993701,998199,1095907,1143509,1309112,1290170,1376478,1446334,1466724,283407,320271,336750,388284,420732,431484,485032,491426,507218,532135,536326,589485,281304,276893,312764,360381,373623,414623,418826,474411,495020,551786,576419,580343,564711,597163,649515,748665,794355,846106,903859,965837,1002239,1083921,1112745,1169828
"MALUKU UTARA",177675,191156,211978,251754,258354,265618,290969,329290,404776,394030,444612,451617,464503,487188,508378,556958,123694,135090,140958,155828,179277,191529,190355,248040,315800,313212,331144,372550,380773,428930,465804,448466,301368,326247,352935,407582,437631,457147,481323,577330,720576,707243,775756,824167,845277,916118,974183,1005425,267331,275301,338486,371122,344662,340350,460042,471080,465188,466434,597199,630536,637731,662540,678260,655075,256065,330755,399622,438314,430976,502200,480250,564673,510105,619048,725689,830529,837159,868166,839119,778805,523396,606056,738107,809436,775638,842550,940292,1035753,975292,1085482,1322888,1461066,1474890,1530707,1517379,1433881,281916,286031,337639,367971,421216,413580,486734,502810,514251,537605,556903,585162,247990,276389,270377,334419,368679,395791,440060,503588,511838,555218,572438,543423,529906,562421,608016,702390,789896,809371,926794,1006398,1026089,1092823,1129341,1128586
"PAPUA BARAT",145641,182991,239374,246550,320978,288477,347695,385728,463880,422748,503505,563630,618950,637059,645883,697480,94305,109712,124970,150604,287082,237225,269646,317493,420440,402906,414874,502000,576152,580724,583188,612654,239945,292703,364345,397155,608060,525702,617340,703221,884320,825653,918380,1065631,1195102,1217784,1229072,1310134,249422,281021,365174,406785,477629,511296,579221,587378,593203,578480,625250,688191,734698,757592,767908,761378,223745,249604,350537,434326,605640,601530,672030,783891,676879,725085,814450,819391,872356,880007,969587,883993,473167,530625,715711,841111,1083269,1112825,1251251,1371269,1270082,1303565,1439701,1507582,1607055,1637600,1737496,1645371,367893,354867,416901,445820,512796,482624,551032,614330,667673,687943,698303,723854,382488,345772,389924,456479,517436,526777,570859,631186,700836,707070,749177,724650,750381,700639,806825,902298,1030232,1009401,1121891,1245517,1368510,1395013,1447480,1448505
"PAPUA",174794,185796,219375,271703,289704,301021,317666,388427,403652,473493,580292,575972,615756,692981,780284,839057,85281,116061,113524,138415,129790,147907,169400,119018,218261,292366,309079,364257,413438,456721,446905,439173,260075,301857,332899,410118,419493,448928,487066,507445,621913,765859,889371,940229,1029195,1149702,1227190,1278230,324366,333558,392730,415596,448305,514838,557115,772584,666922,668005,795023,749489,789028,800970,823762,904600,336276,364421,366232,381501,499060,525317,656825,483316,739704,746974,798850,857375,889117,909040,894668,979502,660642,697979,758961,797097,947365,1040154,1213940,1255900,1406626,1414980,1593874,1606865,1678145,1710011,1718430,1884103,330865,356651,379876,487272,473382,524592,638353,623986,665291,723821,792780,858106,225626,246100,296036,212753,356371,411795,441507,500709,549426,585893,575598,596214,556491,602751,675911,700025,829753,936387,1079860,1124695,1214718,1309714,1368379,1454320
"INDONESIA",148613,166583,186741,219803,254926,272249,299112,336738,366834,397100,457927,479557,490754,518073,545942,591087,106197,117329,132103,151528,184627,189107,206349,235848,292580,314166,322665,372547,392074,415621,425502,437809,254810,283912,318844,371330,439552,461356,505461,572586,659414,711266,780593,852105,882828,933694,971445,1028896,201218,222980,250873,291678,332509,375110,414170,439770,457312,520630,590082,620962,637131,670303,681277,721083,257707,273020,298220,335365,416551,431426,488915,538948,617352,647500,673443,729562,751079,785332,806048,828158,458925,496000,549093,627043,749060,806536,903085,978718,1074664,1168131,1263526,1350524,1388211,1455636,1487326,1549242,293556,323478,356435,388350,412462,460639,527955,556899,572551,603235,622845,665756,300108,309791,347126,387682,456361,485619,508541,567817,592689,622448,641744,662025,593664,633269,703561,776032,868823,946258,1036497,1124716,1165240,1225684,1264589,1327782
