"provinsi","ump.2002","ump.2003","ump.2004","ump.2005","ump.2006","ump.2007","ump.2008","ump.2009","ump.2010","ump.2011","ump.2012","ump.2013","ump.2014","ump.2015","ump.2016","ump.2017","ump.2018","ump.2019","ump.2020","ump.2021","ump.2022"
"ACEH",330000,425000,550000,620000,820000,850000,1000000,1200000,1300000,1350000,1400000,1550000,1750000,1900000,2118500,2500000,2700000,2916810,3165031,3165031,3166460
"SUMATERA UTARA",464000,505000,537000,600000,737794,761000,822205,905000,965000,1035500,1200000,1375000,1505850,1625000,1811875,1961354,2132189,2303403,2499423,2499423,2522610
"SUMATERA BARAT",385000,435000,480000,540000,650000,725000,800000,880000,940000,1055000,1150000,1350000,1490000,1615000,1800725,1949284,2119067,2289220,2484041,2484041,2512539
"RIAU",394000,437500,476900,551500,637000,710000,800000,901600,1016000,1120000,1238000,1400000,1700000,1878000,2095000,2266722,2464154,2662026,2888564,2888564,2938564
"JAMBI",304000,390000,425000,485000,563000,658000,724000,800000,900000,1028000,1142500,1300000,1502300,1710000,1906650,2063000,2243719,2423889,2630162,2788826,2698941
"SUMATERA SELATAN",331500,403500,460000,503700,604000,662000,743000,824730,927825,1048440,1195220,1630000,1825000,1974346,2206000,2388000,2595995,2804453,3043111,3043111,3144446
"BENGKULU",295000,330000,363000,430000,516000,644838,690000,735000,780000,815000,930000,1200000,1350000,1500000,1605000,1737412,1888741,2040407,2213604,2460996,2238094
"LAMPUNG",310000,350000,377500,405000,505000,555000,617000,691000,767500,855000,975000,1150000,1399037,1581000,1763000,1908447,2074673,2241270,2432002,2432001,2440486
"KEP. BANGKA BELITUNG",345000,379500,447900,560000,640000,720000,813000,850000,910000,1024000,1110000,1265000,1640000,2100000,2341500,2538673,2755444,2976706,3230024,3000804,3264884
"KEP. RIAU",NA,NA,NA,557000,760000,805000,833000,892000,925000,975000,1015000,1365087,1665000,1954000,2178710,2358454,2563875,2769754,3005460,3005460,3050172
"DKI JAKARTA",591300,631600,671600,711843,819100,900560,972604,1069865,1118009,1290000,1529150,2200000,2441000,2700000,3100000,3355750,3648036,3940973,4276350,1765000,4641854
"JAWA BARAT",280800,320000,366500,408260,447654,516840,568193,628191,671500,732000,780000,850000,1000000,1000000,2250000,1420624,1544361,1668373,1810351,2630162,1841487
"JAWA TENGAH",314500,340400,365000,390000,450000,500000,547000,575000,660000,675000,765000,830000,910000,910000,910000,1367000,1486065,1605396,1742015,1810351,1812935
"DI YOGYAKARTA",321800,360000,365000,400000,460000,500000,586000,700000,745694,808000,892660,947114,988500,988500,988500,1337645,1454154,1570923,1704608,2215000,1840916
"JAWA TIMUR",245000,274000,310000,340000,390000,448500,500000,570000,630000,705000,745000,866250,1000000,1000000,1000000,1338000,1508895,1630059,1768777,1798979,1891567
"BANTEN",360000,475000,515000,585000,661613,746500,837000,917500,955300,1000000,1042000,1170000,1325000,1600000,1784000,1931180,2099385,2267990,2460997,3230023,2501203
"BALI",341000,410000,425000,447500,510000,622000,682650,760000,829316,890000,967500,1181000,1542600,1621172,1807600,1956727,2127157,2297969,2494000,2494000,2516971
"NUSA TENGGARA BARAT",320000,375000,412500,475000,550000,645000,730000,832500,890775,950000,1000000,1100000,1210000,1330000,1482950,1631245,1825000,2012610,2183883,2183883,2207212
"NUSA TENGGARA TIMUR",330000,350000,400000,450000,550000,600000,650000,725000,800000,850000,925000,1010000,1150000,1250000,1425000,1525000,1660000,1795000,1950000,1950000,1975000
"KALIMANTAN BARAT",380000,400000,420000,445200,512000,560000,645000,705000,741000,802500,900000,1060000,1380000,1560000,1739400,1882900,2046900,2211500,2399699,1868777,2434328
"KALIMANTAN TENGAH",362000,425000,482300,523698,634260,665973,765868,873089,986590,1134580,1327459,1553127,1723970,1896367,2057558,2227307,2421305,2663435,2903145,2877448,2922516
"KALIMANTAN SELATAN",377500,425000,482200,536300,629000,745000,825000,930000,1024500,1126000,1225000,1337500,1620000,1870000,2085050,2258000,2454671,2651782,2877449,2399698,2906473
"KALIMANTAN TIMUR",500000,540000,572700,600000,701640,766500,889654,955000,1002000,1084000,1177000,1752073,1886315,2026126,2161253,2354800,2543332,2747561,2981379,2903144,3014497
"KALIMANTAN UTARA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026126,2175340,2358800,2559903,2765463,3000804,2981378,3016738
"SULAWESI UTARA",438000,495000,545000,600000,713500,750000,845000,929500,1000000,1050000,1250000,1550000,1900000,2150000,2400000,2598000,2824286,3051076,3310723,3310723,3310723
"SULAWESI TENGAH",350000,410000,450000,490000,575000,615000,670000,720000,777500,827500,885000,995000,1250000,1500000,1670000,1807775,1965232,2123040,2303711,2303711,2390739
"SULAWESI SELATAN",375000,415000,455000,510000,612000,673200,740520,905000,1000000,1100000,1200000,1440000,1800000,2000000,2250000,2435625,2647767,2860382,3103800,3165876,3165876
"SULAWESI TENGGARA",325000,390000,470000,498600,573400,640000,700000,770000,860000,930000,1032300,1125207,1400000,1652000,1850000,2002625,2177052,2351870,2552015,2552014,2710596
"GORONTALO",375000,410000,430000,435000,527000,560000,600000,675000,710000,762500,837500,1175000,1325000,1600000,1875000,2030000,2206813,2384020,2788826,4416186,2800580
"SULAWESI BARAT",NA,NA,NA,NA,612000,691464,760500,909400,944200,1006000,1127000,1165000,1400000,1655500,1864000,2017780,2193530,2381000,2678863,2678863,2678863
"MALUKU",285000,370000,450000,500000,575000,635000,700000,775000,840000,900000,975000,1275000,1415000,1650000,1775000,1925000,2222220,2400664,2604961,2604961,2619313
"MALUKU UTARA",322000,370000,400000,440000,528000,660000,700000,770000,847000,889350,960498,1200622,1440746,1577617,1681266,1975000,2320803,2508091,2721530,2721530,2862231
"PAPUA BARAT",NA,NA,NA,NA,822500,987000,1105500,1180000,1210000,1410000,1450000,1720000,1870000,2015000,2237000,2421500,2667000,2934500,3134600,3134600,3200000
"PAPUA",530000,600000,650000,700000,822500,987000,1105500,1216100,1316500,1403000,1585000,1710000,2040000,2193000,2435000,2663646,3000000,3240900,3516700,3516700,3561932
"INDONESIA",362700,414700,458500,507697,602702,672480,745709,841530,908824,988829,1088903,1296908,1584391,1790342,1997819,2073332,2268874,2455662,2672371,2684743,2729463
